"Y9H_SCHID","Y9H_SCH1","Y9H_SCH2R","Y9H_SCH3R","Y9H_SCH4_1","Y9H_SCH4_2","Y9H_SCH4_3","Y9H_SCH4_4","Y9H_SCH4_5","Y9H_SCH4_6","Y9H_SCH4_7","Y9H_SCH4_8","Y9H_SCH4_9R","Y9H_SCH4_10","Y9H_SCH4_11","Y9H_SCH4_12","Y9H_SCH4_13","Y9H_SCH4_14","Y9H_SCH4_15","Y9H_SCH4_16","Y9H_SCH4_17","Y9H_SCH4_18","Y9H_SCH4_19","Y9H_SCH4_19etc","Y9H_SCH5_1","Y9H_SCH5_1_1","Y9H_SCH5_1_2","Y9H_SCH5_2","Y9H_SCH5_3","Y9H_SCH5_4","Y9H_SCH5_5","Y9H_SCH6A1","Y9H_SCH6A2","Y9H_SCH6A3","Y9H_SCH6A4","Y9H_SCH6B1","Y9H_SCH6B2","Y9H_SCH6B3","Y9H_SCH6B4","Y9H_SCH6B5","Y9H_SCH6C1","Y9H_SCH6C2","Y9H_SCH6C3","Y9H_SCH6D1","Y9H_SCH6D2","Y9H_SCH6D3","Y9H_SCH6D4","Y9H_SCH6D5","Y9H_SCH6D6","Y9H_SCH6D7","Y9H_SCH6D8","Y9H_SCH6D9","Y9H_SCH6D10","Y9H_SCH6D11","Y9H_SCH6D12","Y9H_SCH6D13","Y9H_SCH6D14","Y9H_SCH6D15","Y9H_SCH6D16","Y9H_SCH6D17","Y9H_SCH6D18","Y9H_SCH6D19","Y9H_SCH6D20","Y9H_SCH6D21","Y9H_SCH6D22","Y9H_SCH6D23","Y9H_SCH6D24","Y9H_SCH6D25","Y9H_SCH6D26","Y9H_SCH6D27","Y9H_SCH6D28","Y9H_SCH6D28etc","Y9H_SCH7_1","Y9H_SCH7_2","Y9H_SCH7_3","Y9H_SCH7_4","Y9H_SCH7_5","Y9H_SCH7_6","Y9H_SCH8_1","Y9H_SCH8_2","Y9H_SCH8_3","Y9H_SCH9_1M","Y9H_SCH9_2M","Y9H_SCH9_3M","Y9H_SCH9_4M","Y9H_SCH9_5M","Y9H_SCH9_5etc","Y9H_SCH9_6M","Y9H_SCH10","Y9H_SCH10_1","Y9H_SCH10_2","Y9H_SCH10_2etc","Y9H_SCH11_1","Y9H_SCH11_2","Y9H_SCH11_3","Y9H_SCH12_1","Y9H_SCH12_2","Y9H_SCH13_1","Y9H_SCH13_2","Y9H_SCH13_3","Y9H_SCH13_4","Y9H_SCH13_5","Y9H_SCH13_6","Y9H_SCH14_1_1","Y9H_SCH14_1_2","Y9H_SCH14_2_1","Y9H_SCH14_2_2","Y9H_SCH14_3_1","Y9H_SCH14_3_2","Y9H_SCH14_4_1","Y9H_SCH14_4_2","Y9H_SCH14_5_1","Y9H_SCH14_5_2","Y9H_SCH14_6etc","Y9H_SCH14_6_1","Y9H_SCH14_6_2","Y9H_SCH15","Y9H_SCH15_1_1","Y9H_SCH15_1_2","Y9H_SCH15_1_3","Y9H_SCH15_1_4","Y9H_SCH15_1_5","Y9H_SCH15_1_6","Y9H_SCH16","Y9H_SCH16_1","Y9H_SCH16_1etc","Y9H_SCH16_2","Y9H_SCH16_3","Y9H_SCH17_1","Y9H_SCH17_2","Y9H_SCH17_3","Y9H_SCH17_4","Y9H_SCH17_5","Y9H_SCH17_6","Y9H_SCH17_7","Y9H_SCH17_8","Y9H_SCH17_9","Y9H_SCH18_1","Y9H_SCH18_2","Y9H_SCH18_3","Y9H_SCH18_4","Y9H_SCH18_5","Y9H_SCH18_6","Y9H_SCH18_7","Y9H_SCH18_8","Y9H_SCH19_1","Y9H_SCH19_2","Y9H_SCH19_3","Y9H_SCH19_4","Y9H_SCH19_5","Y9H_SCH19_6","Y9H_SCH19_7","Y9H_SCH19_8","Y9H_SCH20_1","Y9H_SCH20_2","Y9H_SCH20_3","Y9H_SCH20_4","Y9H_SCH20_5","Y9H_SCH20_6"
315.0,1,1,3,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,,405.0,215.0,190.0,15.0,,4.0,1.0,,,1.0,,25.0,38.0,25.0,9.0,24.3,48.0,47.0,2.0,2.0,,,1.0,1.0,,,,,,,,,1.0,11.0,,,,,,1.0,3.0,1.0,,,,,,,56.25,23.67,,3.75,,16.33,3,3,3,0,0,0,1,0,,0,2,,1,,5,5,5,5,5,72.0,18.0,4.0,4.0,1.0,73.0,1.0,15.0,,,,,,,1.0,12.0,,,,1,1,1,1,1,1,1,1,7,,94.0,30.0,1,1,1,1,1,1,1,1,1,190.0,310.0,,,3.0,,,,39.8,62.0,,,0.2,,,,,,,,,
316.0,1,1,3,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,,,367.0,189.0,178.0,2.0,10.0,3.0,,64.0,5.0,1.0,1.0,29.0,25.0,6.0,9.0,,48.0,21.0,,2.0,,,1.0,1.0,,,,,,,,1.0,1.0,9.0,,1.0,,,,,,,,,,,,,63.7,22.5,,3.1,,10.7,0,0,0,0,0,0,0,0,,1,2,,2,,5,5,5,5,5,62.0,2.0,3.0,,,,,,1.0,15.0,,,,,,,,,,1,1,1,1,2,1,2,1,7,8,73.0,225.0,1,1,1,1,1,1,1,1,1,18.0,198.0,,,,,,150.0,,100.0,,,,,,,,,,,,
319.0,1,1,3,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,2,1,2,,,302.0,120.0,182.0,24.0,52.0,7.0,24.0,70.0,13.0,1.0,0.0,26.0,17.0,16.0,24.0,20.75,41.0,40.0,2.0,2.0,,,,1.0,,1.0,,,,,,1.0,1.0,8.0,,,,,,,,,,,,,,,77.0,14.0,0.3,2.0,,7.0,2,2,2,0,1,0,0,0,,0,2,,1,,5,5,5,5,5,40.0,8.0,3.0,14.0,2.0,,1.0,15.0,,,,,,,,,,,,1,1,2,1,1,1,2,1,7,,80.0,20.0,1,1,1,1,1,1,1,1,1,109.0,52.0,,65.0,,5.0,,,37.9,18.0,,22.6,,1.7,,,,15.0,,,,
320.0,1,1,3,2,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,,178.0,86.0,92.0,,,0.0,,48.0,10.0,1.0,0.0,,,,,,,,,1.0,,,4.0,,,,,,,,,1.0,5.0,6.0,,,,,,1.0,,,,,,,,,,,,,,,3,3,3,0,1,0,0,0,,0,2,,6,,4,4,4,5,5,,,,,,,,,,,,,,,1.0,1.0,,,,2,,,,,,,1,7,,56.0,30.0,1,1,1,1,1,1,1,1,1,37.0,126.0,,,,,,,,,,,,,,,,,,,,
322.0,1,1,3,2,,,,1,1,1,1,2,,,,,,,,,,,,263.0,141.0,122.0,8.0,15.0,4.0,4.0,56.0,7.0,1.0,,10.0,35.0,14.0,5.0,17.03,38.0,26.0,,2.0,,,7.0,,,,,,,,,1.0,,10.0,,1.0,,,,1.0,,1.0,,,,,,,80.0,11.88,0.14,2.64,,5.34,2,2,2,0,1,0,1,0,,0,2,,1,,5,5,5,5,5,22.0,12.0,1.0,10.0,,,1.0,20.0,,,,,,,,,,,,1,1,2,1,1,1,2,1,,10,57.0,15.0,1,1,1,2,1,1,1,2,1,80.0,112.0,0.0,1.0,,,,,40.0,50.0,,,5.0,5.0,,,,,,,,
323.0,2,1,3,2,1,,,1,,,1,2,,,1,,,1,,,,,,218.0,89.0,129.0,13.0,51.0,7.0,2.0,52.0,13.0,1.0,0.0,5.0,25.0,16.0,6.0,19.0,41.0,10.0,1.0,2.0,,,1.0,,,,,,,,,1.0,1.0,11.0,,,,,,1.0,,,,,,,,,69.5,0.1,0.0,30.25,0.06,0.09,0,0,0,0,0,1,0,0,,0,2,,1,,4,3,3,2,2,100.0,6.0,6.0,10.0,2.0,40.0,1.0,18.0,,,,,,,,,,,,,,,,,,,1,7,,59.0,185.0,1,1,1,1,1,1,1,1,1,60.0,117.0,3.0,,,,,82.0,24.3,62.8,1.8,9.6,0.5,,0.5,0.5,,,,,,
324.0,1,1,3,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,2,2,2,,202.0,108.0,94.0,10.0,16.0,1.0,0.0,54.0,7.0,1.0,0.0,5.0,28.0,15.0,6.0,16.02,30.0,22.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,71.0,12.0,1.0,3.0,,13.0,0,0,0,0,0,0,0,0,,1,1,2,-999,,5,5,4,5,5,58.0,4.0,4.0,5.0,1.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,1,1,1,1,1,1,7,9,53.0,15.0,1,1,1,1,1,2,2,1,1,31.0,109.0,1.0,0.0,0.0,1.0,0.0,56.0,13.0,51.0,0.0,0.0,0.0,0.0,0.0,36.0,,,,,,
325.0,1,1,3,1,,,,1,,1,1,2,,,1,,,,,,,,,161.0,54.0,107.0,21.0,31.0,1.0,4.0,45.0,9.0,1.0,0.0,9.0,21.0,13.0,2.0,18.0,18.0,27.0,0.0,,,,3.0,,,,,,,,,1.0,1.0,5.0,,1.0,,,,,,,,,,,,,77.8,12.5,0.0,9.7,0.0,,1,1,1,0,1,0,0,0,,0,1,2,-999,,5,5,5,5,5,22.0,11.0,7.0,4.0,3.0,,,,1.0,10.0,,,,,,,,,,1,1,1,1,1,1,1,1,7,,54.0,30.0,1,1,1,1,1,1,1,1,1,61.0,75.0,0.0,30.0,0.0,2.0,9.0,0.0,35.0,60.0,0.0,5.0,0.0,0.0,0.0,0.0,,,,,,
326.0,1,1,3,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,,,255.0,151.0,104.0,4.0,2.0,2.0,,50.0,14.0,1.0,,25.0,20.0,16.0,4.0,15.6,37.0,20.0,8.0,2.0,1.0,,,1.0,,,,,,,,,1.0,8.0,,,,,,1.0,,,,,,,,,40.0,30.0,10.0,20.0,,,2,2,2,0,1,0,0,0,,0,1,2,-999,,5,5,5,5,5,55.0,4.0,3.0,,,,1.0,25.0,,,,,,,,,,,,1,1,1,1,1,1,2,1,7,10,59.0,33.0,1,1,1,1,1,1,1,1,1,30.0,100.0,,,,,20.0,,10.0,85.0,5.0,,,,,,,,,,,
327.0,2,1,3,2,1,,,1,,1,,2,,,,1,,1,,,,,,355.0,124.0,231.0,76.0,27.0,3.0,6.0,62.0,44.0,2.0,,4.0,15.0,22.0,21.0,24.0,34.0,28.0,,,,,2.0,2.0,,,,,,,,1.0,1.0,9.0,,,,,,,,,,,,2.0,4.0,"당직근무원 2, 행정보조원1, 시설관리인1",88.7,1.8,0.1,1.0,0.3,8.1,0,0,0,,,,,,,,2,,5,,1,1,1,1,1,9.0,5.0,9.0,11.0,,43.0,1.0,22.0,,,,,,,,,,,,1,1,1,2,1,1,1,1,,12,101.0,30.0,1,1,1,1,1,1,1,1,1,98.0,34.0,,183.0,,,66.0,,32.7,14.6,0.3,49.3,2.8,2.8,,,,15.0,,15.0,,
329.0,1,1,3,2,1,2,2,2,2,1,1,2,2,1,2,2,1,1,2,2,2,2,,266.0,127.0,139.0,1.0,,3.0,3.0,48.0,13.0,1.0,0.0,13.0,19.0,8.0,10.0,12.8,19.0,30.0,1.0,2.0,,,2.0,,,,,,,,,1.0,1.0,8.0,,1.0,,,,1.0,,,,,,,,,76.0,14.0,1.0,3.7,0.0,5.3,1,1,1,0,1,0,1,0,,0,2,,1,,4,4,4,4,4,34.0,8.0,1.0,4.0,1.0,,,,1.0,3.0,,,,,,,,,,1,1,1,1,1,1,2,1,7,10,62.0,16.0,1,1,1,1,1,1,1,1,1,50.0,253.0,0.0,8.0,,,21.0,1.0,10.0,90.0,,,,,,,,,,,,
330.0,1,1,3,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,"경기미래학교 공간혁신",284.0,139.0,145.0,14.0,17.0,3.0,1.0,57.0,18.0,1.0,1.0,10.0,22.0,8.0,17.0,20.0,31.0,26.0,,2.0,,,1.0,1.0,,,,,,,,,1.0,8.0,,,,,,,1.0,,,,,,1.0,"장애인사서보조",76.9,12.7,0.85,4.6,,4.95,0,0,0,0,1,0,0,0,,0,2,,1,,4,5,5,5,5,62.0,11.0,11.0,5.0,2.0,,1.0,,,,,,,,,,,,,1,1,1,2,1,1,1,1,,14,66.0,15.0,1,1,1,1,1,2,1,2,1,40.0,237.0,,14.0,2.0,,7.0,,38.0,47.0,,,5.0,,4.0,6.0,,,,,,
331.0,1,1,3,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,268.0,151.0,117.0,14.0,21.0,8.0,6.0,67.0,19.0,1.0,0.0,21.0,26.0,11.0,7.0,16.5,30.0,33.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,"시설당직원1, 시설미화원2",47.12,16.23,0.55,16.48,0.0,20.17,0,0,0,0,0,0,0,0,,1,2,,1,,4,4,4,0,0,9.0,16.0,12.0,55.0,0.0,12.0,1.0,20.0,0.0,,0.0,,0.0,,0.0,,,,,1,1,1,1,2,1,2,1,7,19,80.0,22.5,1,1,1,1,1,1,1,2,1,91.0,52.0,0.0,67.0,0.0,1.0,59.0,0.0,19.4,23.8,0.3,49.2,0.0,0.0,4.1,2.9,,,,,15.3,
332.0,1,1,3,1,,,,,,1,,2,,,,,,,,,,,,278.0,163.0,115.0,10.0,27.0,5.0,,62.0,15.0,1.0,1.0,16.0,38.0,16.0,9.0,16.9,47.0,31.0,1.0,2.0,,,2.0,,,,,,,,,,9.0,,,1.0,,,,1.0,1.0,2.0,,,,,2.0,"기타회계직",79.1,8.1,0.2,3.1,0.0,9.5,0,0,0,0,0,0,0,0,,1,2,,4,,5,5,5,5,5,13.0,7.0,5.0,15.0,,11.0,,,1.0,20.0,,,,,,,,,,1,1,1,1,1,2,2,1,7,,72.0,23.4,1,1,1,1,1,1,1,2,1,73.0,162.0,,50.0,,,,49.0,12.0,65.0,2.0,10.0,2.0,1.0,6.0,2.0,,,,,,
333.0,1,1,3,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,332.0,165.0,167.0,4.0,14.0,2.0,0.0,65.0,16.0,1.0,0.0,11.0,34.0,10.0,10.0,17.91,32.0,31.0,2.0,2.0,0.0,0.0,0.0,2.0,,,,,,,,,,9.0,,1.0,,,,1.0,1.0,1.0,,,,,3.0,"시설당직원, 시설미화원, 장애인시설보조",69.0,11.0,0.2,3.8,,16.0,0,0,0,0,0,0,0,0,,1,1,2,-999,,3,3,3,3,3,67.0,13.0,4.0,5.0,0.0,0.0,,,,,,,,,,,"전문상담사(교육공무직)",1.0,15.0,1,1,1,1,,1,,1,7,,59.0,15.0,1,1,1,1,1,1,2,2,1,64.0,314.0,9.0,0.0,0.0,0.0,52.0,0.0,15.0,80.0,0.2,0.1,,,4.7,,,,,,,
334.0,1,1,3,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,196.0,95.0,101.0,10.0,,2.0,,45.0,8.0,1.0,0.0,14.0,20.0,5.0,6.0,15.6,25.0,20.0,0.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,73.0,12.0,,3.0,,12.0,2,2,2,0,0,1,0,0,,0,2,,1,,3,3,3,4,5,37.0,17.0,4.0,2.0,1.0,22.0,,,1.0,10.0,,,,,,,,,,1,1,1,1,1,1,1,1,7,11,51.0,445.0,1,1,1,1,1,1,1,2,1,99.0,80.0,,10.0,5.0,1.0,5.0,26.0,40.0,50.0,,5.0,5.0,,,,,,,,,
